airt,dLow,nite,01202018,MLRF1
airt,dLow,dayb,01202018,MLRF1
airt,dLow,midd,01202018,MLRF1
airt,vLow,psun,01202018,MLRF1
airt,Low,suns,01202018,MLRF1
airtV,High,all,01202018,MLRF1
barom,High,all,01202018,MLRF1
bleaST,average,all,01202018,MLRF1
ekmD7day,onshore,all,01202018,MLRF1
sst,average,all,01202018,MLRF1
paccum,uLow,all,01202018,MLRF1
satCA,Low,all,01202018,MLRF1
seandbc,Low,even,01202018,MLRF1
seandbc,sLow,midn,01202018,MLRF1
seandbc,Low,pdaw,01202018,MLRF1
seandbc,sLow,dayb,01202018,MLRF1
seandbc,sLow,midd,01202018,MLRF1
seandbc,sLow,psun,01202018,MLRF1
seandbc,Low,suns,01202018,MLRF1
seandbcD,sLow,all,01202018,MLRF1
seandbcM,average,all,01202018,MLRF1
seandbcV,sHigh,even,01202018,MLRF1
seandbcV,High,midn,01202018,MLRF1
seandbcV,High,pdaw,01202018,MLRF1
seandbcV,High,dawn,01202018,MLRF1
seandbcV,vHigh,morn,01202018,MLRF1
seandbcV,vHigh,midd,01202018,MLRF1
seandbcV,vHigh,aftn,01202018,MLRF1
spawt,uLow,all,01202018,MLRF1
surfb,sHigh,nite,01202018,MLRF1
surfb,sHigh,dayb,01202018,MLRF1
surfb,High,midd,01202018,MLRF1
surfb,sHigh,aftn,01202018,MLRF1
surfc,average,all,01202018,MLRF1
winddr,ese-sse,even,01202018,MLRF1
winddr,n-ne,midn,01202018,MLRF1
winddr,n-ne,pdaw,01202018,MLRF1
winddr,n-ne,dayb,01202018,MLRF1
winddr,n-ne,midd,01202018,MLRF1
winddr,n-ne,psun,01202018,MLRF1
winddr,ne-ene,suns,01202018,MLRF1
windgu,average,even,01202018,MLRF1
windgu,sHigh,midn,01202018,MLRF1
windgu,average,pdaw,01202018,MLRF1
windgu,average,dayl,01202018,MLRF1
windsd7,average,nite,01202018,MLRF1
windsd7,average,dayb,01202018,MLRF1
windsd7,average,midd,01202018,MLRF1
windsd7,sLow,aftn,01202018,MLRF1
windsp,average,all,01202018,MLRF1
windsp3day,sHigh,nite,01202018,MLRF1
windsp3day,average,dayl,01202018,MLRF1
