YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 01 00 137 10.3 11.5 99.00 99.00 99.00 999 1012.2  23.5  24.4 999.0 99.0
96 01 01 01 151  9.9 11.4 99.00 99.00 99.00 999 1012.8  23.9  24.4 999.0 99.0
96 01 01 02 165 10.2 11.7 99.00 99.00 99.00 999 1012.9  24.5  24.2 999.0 99.0
96 01 01 03 147 11.7 12.8 99.00 99.00 99.00 999 1012.6  23.9  24.4 999.0 99.0
96 01 01 04 149 10.0 11.3 99.00 99.00 99.00 999 1012.4  24.1  24.6 999.0 99.0
96 01 01 05 156  9.8 11.4 99.00 99.00 99.00 999 1011.8  24.5  24.5 999.0 99.0
96 01 01 06 168 11.3 13.0 99.00 99.00 99.00 999 1011.0  24.6  24.5 999.0 99.0
96 01 01 07 173 10.5 11.6 99.00 99.00 99.00 999 1010.0  24.9  24.5 999.0 99.0
96 01 01 08 172 10.3 11.5 99.00 99.00 99.00 999 1009.2  24.9  24.5 999.0 99.0
96 01 01 09 173 11.3 12.8 99.00 99.00 99.00 999 1008.6  25.1  24.4 999.0 99.0
96 01 01 10 182 10.5 12.9 99.00 99.00 99.00 999 1008.7  25.4  24.5 999.0 99.0
96 01 01 11 183 11.4 13.2 99.00 99.00 99.00 999 1008.4  25.2  24.5 999.0 99.0
96 01 01 12 180 12.3 13.7 99.00 99.00 99.00 999 1008.4  25.2  24.5 999.0 99.0
96 01 01 13 181 12.2 13.7 99.00 99.00 99.00 999 1009.0  25.4  24.6 999.0 99.0
96 01 01 14 181 12.5 14.1 99.00 99.00 99.00 999 1009.6  25.6  24.7 999.0 99.0
96 01 01 15 175 11.1 13.0 99.00 99.00 99.00 999 1009.9  25.6  24.7 999.0 99.0
96 01 01 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 19 207  7.1  7.8 99.00 99.00 99.00 999 1008.3  26.0  24.2 999.0 99.0
96 01 01 20 219  5.8  6.6 99.00 99.00 99.00 999 1008.1  26.0  24.1 999.0 99.0
96 01 01 21 214  5.6  6.1 99.00 99.00 99.00 999 1008.1  26.1  24.1 999.0 99.0
96 01 01 22 196  6.5  6.9 99.00 99.00 99.00 999 1008.1  26.0  23.9 999.0 99.0
96 01 01 23 190  6.8  7.4 99.00 99.00 99.00 999 1008.3  26.0  24.2 999.0 99.0
96 01 02 00 186  7.3  8.1 99.00 99.00 99.00 999 1008.7  26.0  24.2 999.0 99.0
96 01 02 01 178  8.4  9.4 99.00 99.00 99.00 999 1008.7  25.9  24.4 999.0 99.0
96 01 02 02 173  8.7  9.8 99.00 99.00 99.00 999 1008.8  25.8  24.5 999.0 99.0
96 01 02 03 176 10.0 11.1 99.00 99.00 99.00 999 1008.5  25.8  24.5 999.0 99.0
96 01 02 04 179  9.1 10.0 99.00 99.00 99.00 999 1008.2  25.6  24.5 999.0 99.0
96 01 02 05 185  7.3  8.0 99.00 99.00 99.00 999 1008.3  25.4  24.5 999.0 99.0
96 01 02 06 179  7.6  8.6 99.00 99.00 99.00 999 1007.9  25.4  24.4 999.0 99.0
96 01 02 07 196  8.5  9.5 99.00 99.00 99.00 999 1008.3  25.5  24.2 999.0 99.0
96 01 02 08 198  7.5  8.5 99.00 99.00 99.00 999 1008.1  25.4  24.1 999.0 99.0
96 01 02 09 199  6.6  7.7 99.00 99.00 99.00 999 1007.9  25.4  24.1 999.0 99.0
96 01 02 10 201  8.2  9.2 99.00 99.00 99.00 999 1008.2  25.4  24.1 999.0 99.0
96 01 02 11 195  6.5  7.3 99.00 99.00 99.00 999 1008.6  25.3  24.1 999.0 99.0
96 01 02 12 188  7.6  8.5 99.00 99.00 99.00 999 1009.0  25.3  24.0 999.0 99.0
96 01 02 13 188  7.7  8.9 99.00 99.00 99.00 999 1009.8  25.3  24.1 999.0 99.0
96 01 02 14 191  7.3  8.6 99.00 99.00 99.00 999 1010.8  25.3  24.3 999.0 99.0
96 01 02 15 189  7.6  8.6 99.00 99.00 99.00 999 1011.1  25.5  24.3 999.0 99.0
96 01 02 16 190  7.8  8.9 99.00 99.00 99.00 999 1011.2  25.6  24.4 999.0 99.0
96 01 02 17 200  6.5  7.1 99.00 99.00 99.00 999 1011.0  25.7  24.5 999.0 99.0
96 01 02 18 206  5.5  6.0 99.00 99.00 99.00 999 1010.1  25.7  24.5 999.0 99.0
96 01 02 19 217  5.1  5.6 99.00 99.00 99.00 999 1009.3  26.0  24.6 999.0 99.0
96 01 02 20 198  5.1  5.5 99.00 99.00 99.00 999 1008.9  25.9  24.6 999.0 99.0
96 01 02 21 182  4.1  4.4 99.00 99.00 99.00 999 1008.6  26.1  24.6 999.0 99.0
96 01 02 22 168  3.1  3.4 99.00 99.00 99.00 999 1008.7  26.0  24.5 999.0 99.0
96 01 02 23 189  5.5  6.0 99.00 99.00 99.00 999 1008.8  26.3  24.5 999.0 99.0
96 01 03 00 173  6.9  7.7 99.00 99.00 99.00 999 1008.4  26.3  24.4 999.0 99.0
96 01 03 01 180  8.4  9.4 99.00 99.00 99.00 999 1008.4  26.2  24.4 999.0 99.0
96 01 03 02 172 10.6 12.0 99.00 99.00 99.00 999 1008.2  26.0  24.4 999.0 99.0
96 01 03 03 173 11.3 12.8 99.00 99.00 99.00 999 1007.8  25.9  24.4 999.0 99.0
96 01 03 04 175 10.8 11.7 99.00 99.00 99.00 999 1008.7  25.8  24.3 999.0 99.0
96 01 03 05 185  8.6  9.9 99.00 99.00 99.00 999 1008.7  25.7  24.3 999.0 99.0
96 01 03 06 195 10.1 11.3 99.00 99.00 99.00 999 1008.6  25.7  24.3 999.0 99.0
96 01 03 07 189  9.5 10.3 99.00 99.00 99.00 999 1008.0  25.6  24.3 999.0 99.0
96 01 03 08 178 11.5 12.6 99.00 99.00 99.00 999 1006.5  25.8  24.3 999.0 99.0
96 01 03 09 181 12.8 15.0 99.00 99.00 99.00 999 1006.4  25.7  24.3 999.0 99.0
96 01 03 10 181 14.2 16.6 99.00 99.00 99.00 999 1005.1  25.6  24.6 999.0 99.0
96 01 03 11 285  6.2  7.3 99.00 99.00 99.00 999 1006.8  23.0  24.6 999.0 99.0
96 01 03 12 292  6.3  7.1 99.00 99.00 99.00 999 1008.2  23.1  24.7 999.0 99.0
96 01 03 13 316  6.2  6.6 99.00 99.00 99.00 999 1009.1  22.7  24.6 999.0 99.0
96 01 03 14 344  6.7  7.4 99.00 99.00 99.00 999 1010.2  21.4  24.6 999.0 99.0
96 01 03 15 335  7.2  7.8 99.00 99.00 99.00 999 1011.4  21.6  24.5 999.0 99.0
96 01 03 16 348  6.0  6.6 99.00 99.00 99.00 999 1011.0  21.9  24.5 999.0 99.0
96 01 03 17 332  3.9  4.4 99.00 99.00 99.00 999 1011.1  22.2  24.6 999.0 99.0
96 01 03 18   7  2.5  2.9 99.00 99.00 99.00 999 1010.3  21.9  24.8 999.0 99.0
96 01 03 19 346   .8  1.0 99.00 99.00 99.00 999 1010.0  22.4  24.8 999.0 99.0
96 01 03 20 307  5.4  6.2 99.00 99.00 99.00 999 1010.5  22.7  24.9 999.0 99.0
96 01 03 21 271  6.9  7.8 99.00 99.00 99.00 999 1010.2  23.3  24.9 999.0 99.0
96 01 03 22 261  9.8 12.8 99.00 99.00 99.00 999 1011.3  23.7  24.8 999.0 99.0
96 01 03 23 291 13.0 14.7 99.00 99.00 99.00 999 1011.8  22.9  24.6 999.0 99.0
96 01 04 00 311 14.6 16.3 99.00 99.00 99.00 999 1013.2  21.7  24.6 999.0 99.0
96 01 04 01 325 13.3 15.1 99.00 99.00 99.00 999 1014.6  20.8  24.5 999.0 99.0
96 01 04 02 316 12.0 13.4 99.00 99.00 99.00 999 1015.3  20.8  24.4 999.0 99.0
96 01 04 03 316 10.2 11.7 99.00 99.00 99.00 999 1015.9  21.3  24.3 999.0 99.0
96 01 04 04 315 11.8 13.7 99.00 99.00 99.00 999 1016.1  20.9  24.4 999.0 99.0
96 01 04 05 337 12.7 13.8 99.00 99.00 99.00 999 1016.4  19.2  24.3 999.0 99.0
96 01 04 06 347 11.5 13.2 99.00 99.00 99.00 999 1016.5  19.1  24.3 999.0 99.0
96 01 04 07 350 10.8 12.3 99.00 99.00 99.00 999 1016.7  18.9  24.2 999.0 99.0
96 01 04 08  19 10.2 11.8 99.00 99.00 99.00 999 1016.5  17.9  24.0 999.0 99.0
96 01 04 09  28  7.9  8.6 99.00 99.00 99.00 999 1017.2  17.5  23.9 999.0 99.0
96 01 04 10  33  6.8  8.4 99.00 99.00 99.00 999 1017.6  17.3  24.1 999.0 99.0
96 01 04 11  37  8.1  9.0 99.00 99.00 99.00 999 1018.0  17.2  24.1 999.0 99.0
96 01 04 12  61  7.7  9.1 99.00 99.00 99.00 999 1018.8  16.6  24.0 999.0 99.0
96 01 04 13  51  7.6  8.4 99.00 99.00 99.00 999 1019.5  16.6  24.0 999.0 99.0
96 01 04 14  48  6.8  8.1 99.00 99.00 99.00 999 1020.5  16.7  23.9 999.0 99.0
96 01 04 15  61  6.9  8.1 99.00 99.00 99.00 999 1021.2  17.0  23.9 999.0 99.0
96 01 04 16  65  7.1  8.0 99.00 99.00 99.00 999 1021.3  16.9  23.9 999.0 99.0
96 01 04 17  69  4.8  6.1 99.00 99.00 99.00 999 1020.9  17.3  24.0 999.0 99.0
96 01 04 18  61  6.0  6.8 99.00 99.00 99.00 999 1020.0  17.5  24.2 999.0 99.0
96 01 04 19  65  5.3  6.1 99.00 99.00 99.00 999 1019.5  17.7  24.1 999.0 99.0
96 01 04 20  67  6.1  7.1 99.00 99.00 99.00 999 1019.2  17.9  24.1 999.0 99.0
96 01 04 21  67  6.4  7.1 99.00 99.00 99.00 999 1019.0  18.0  24.0 999.0 99.0
96 01 04 22  55  7.2  8.1 99.00 99.00 99.00 999 1019.4  18.4  23.9 999.0 99.0
96 01 04 23  41  6.9  7.6 99.00 99.00 99.00 999 1019.7  18.2  23.9 999.0 99.0
96 01 05 00  57  7.5  8.3 99.00 99.00 99.00 999 1020.3  18.3  23.7 999.0 99.0
96 01 05 01  63  7.3  8.5 99.00 99.00 99.00 999 1020.7  18.4  23.7 999.0 99.0
96 01 05 02  62  8.1  9.2 99.00 99.00 99.00 999 1021.4  18.5  23.6 999.0 99.0
96 01 05 03  63  7.9  9.7 99.00 99.00 99.00 999 1021.8  18.6  23.5 999.0 99.0
96 01 05 04  66  7.7  9.2 99.00 99.00 99.00 999 1021.8  18.7  23.4 999.0 99.0
96 01 05 05  66  7.2  8.0 99.00 99.00 99.00 999 1021.8  18.6  23.4 999.0 99.0
96 01 05 06  48  8.5  9.8 99.00 99.00 99.00 999 1021.5  18.6  23.4 999.0 99.0
96 01 05 07  55  8.5  9.6 99.00 99.00 99.00 999 1021.1  18.3  23.3 999.0 99.0
96 01 05 08  48  8.5  9.0 99.00 99.00 99.00 999 1020.8  18.4  23.2 999.0 99.0
96 01 05 09  50  8.9  9.5 99.00 99.00 99.00 999 1020.7  18.5  23.3 999.0 99.0
