06_15_1991,0
06_16_1991,0
06_17_1991,0
06_18_1991,0
06_19_1991,0
06_20_1991,0
06_21_1991,0
06_22_1991,0
06_23_1991,0
06_24_1991,0
06_25_1991,0
06_26_1991,0
06_27_1991,0
06_28_1991,0
06_29_1991,0
06_30_1991,0
07_01_1991,0
07_02_1991,0
07_03_1991,0
07_04_1991,0
07_05_1991,0
07_06_1991,0
07_07_1991,0
07_08_1991,0
07_09_1991,0
07_10_1991,0
07_11_1991,0
07_12_1991,0
07_13_1991,0
07_14_1991,0
07_15_1991,0
07_16_1991,0
07_17_1991,0
07_18_1991,0
07_19_1991,0
07_20_1991,0
07_21_1991,0
07_22_1991,0
07_23_1991,0
07_24_1991,0
07_25_1991,0
07_26_1991,0
07_27_1991,0
07_28_1991,0
07_29_1991,0
07_30_1991,0
07_31_1991,0
08_01_1991,0
08_02_1991,0
08_03_1991,0
08_04_1991,0
08_05_1991,6
08_06_1991,0
08_07_1991,0
08_08_1991,0
08_09_1991,0
08_10_1991,0
08_11_1991,6
08_12_1991,0
08_13_1991,0
08_14_1991,9
08_15_1991,0
08_16_1991,0
08_17_1991,0
08_18_1991,0
08_19_1991,0
08_20_1991,0
08_21_1991,0
08_22_1991,0
08_23_1991,0
08_24_1991,0
08_25_1991,0
08_26_1991,0
08_27_1991,0
08_28_1991,0
08_29_1991,0
08_30_1991,0
08_31_1991,0
09_01_1991,6
09_02_1991,0
09_03_1991,0
09_04_1991,0
09_05_1991,0
09_06_1991,0
09_07_1991,0
09_08_1991,0
09_09_1991,0
09_10_1991,0
09_11_1991,0
09_12_1991,0
09_13_1991,6
09_14_1991,0
09_15_1991,0
09_16_1991,0
09_17_1991,0
09_18_1991,0
09_19_1991,0
09_20_1991,0
09_21_1991,0
09_22_1991,0
09_23_1991,0
09_24_1991,0
09_25_1991,0
09_26_1991,0
09_27_1991,0
09_28_1991,0
09_29_1991,0
09_30_1991,0
10_01_1991,0
10_02_1991,0
10_03_1991,0
10_04_1991,0
10_05_1991,0
10_06_1991,0
10_07_1991,0
10_08_1991,0
10_09_1991,0
10_10_1991,0
10_11_1991,0
10_12_1991,0
10_13_1991,0
10_14_1991,0
10_15_1991,0
10_16_1991,0
10_17_1991,0
10_18_1991,0
10_19_1991,0
10_20_1991,0
10_21_1991,0
10_22_1991,0
10_23_1991,0
10_24_1991,0
10_25_1991,0
10_26_1991,0
10_27_1991,0
10_28_1991,0
10_29_1991,0
10_30_1991,0
10_31_1991,0
11_01_1991,0
11_02_1991,0
11_03_1991,0
11_04_1991,0
11_05_1991,0
11_06_1991,0
11_07_1991,0
11_08_1991,0
11_09_1991,0
11_10_1991,0
11_11_1991,0
11_12_1991,0
11_13_1991,0
11_14_1991,0
11_15_1991,0
11_16_1991,0
11_17_1991,0
11_18_1991,0
11_19_1991,0
11_20_1991,0
11_21_1991,0
11_22_1991,0
11_23_1991,0
11_24_1991,0
11_25_1991,0
11_26_1991,0
11_27_1991,0
11_28_1991,0
11_29_1991,0
11_30_1991,0
12_01_1991,0
12_02_1991,0
12_03_1991,0
12_04_1991,0
12_05_1991,0
12_06_1991,0
12_07_1991,0
12_08_1991,0
12_09_1991,0
12_10_1991,0
12_11_1991,0
12_12_1991,0
12_13_1991,0
12_14_1991,0
12_15_1991,0
12_16_1991,0
12_17_1991,0
12_18_1991,0
12_19_1991,0
12_20_1991,0
12_21_1991,0
12_22_1991,0
12_23_1991,0
12_24_1991,0
12_25_1991,0
12_26_1991,0
12_27_1991,0
12_28_1991,0
12_29_1991,0
12_30_1991,0
